index,Strain,Type,Rating,Effects,Flavor,Description,Effects_tokens,Flavor_tokens,Description_tokens,General_Description
376,Brian-Berry-Cough,hybrid,4.5,"Happy,Uplifted,Relaxed,Energetic,Hungry","Berry,Tropical,Sweet","Brian Berry Cough from TGA Genetics is a balanced 50/50 hybrid strain that crosses Strawberry Cough and Space Queen. Bred for flavor as well as potency, this strain inherits a loud strawberry and cherry aroma with traces of candied fruit. Its powerful, high-velocity effects center themselves cerebrally at first and then quickly spread to relax the rest of the body. Knots of lavender and green calyxes burst from the tall plants, crowned with deep purple-tipped fan leaves. ","['happy', 'uplifted', 'relaxed', 'energetic', 'hungry']","['berry', 'tropical', 'sweet']","['brian', 'berry', 'cough', 'tga', 'genetics', 'balanced', '50/50', 'hybrid', 'strain', 'crosses', 'strawberry', 'cough', 'space', 'queen.', 'bred', 'flavor', 'potency,', 'strain', 'inherits', 'loud', 'strawberry', 'cherry', 'aroma', 'traces', 'candied', 'fruit.', 'powerful,', 'high-velocity', 'effects', 'center', 'cerebrally', 'quickly', 'spread', 'relax', 'rest', 'body.', 'knots', 'lavender', 'green', 'calyxes', 'burst', 'tall', 'plants,', 'crowned', 'deep', 'purple-tipped', 'fan', 'leaves.']","Happy,Uplifted,Relaxed,Energetic,HungryBerry,Tropical,SweetBrian Berry Cough from TGA Genetics is a balanced 50/50 hybrid strain that crosses Strawberry Cough and Space Queen. Bred for flavor as well as potency, this strain inherits a loud strawberry and cherry aroma with traces of candied fruit. Its powerful, high-velocity effects center themselves cerebrally at first and then quickly spread to relax the rest of the body. Knots of lavender and green calyxes burst from the tall plants, crowned with deep purple-tipped fan leaves. "
377,Bright-Fire,indica,5.0,"Hungry,Relaxed,Uplifted,Creative,Euphoric","Pungent,Earthy,Citrus","Bright Fire by Palomar Craft Cannabis is a rewarding yet difficult plant to grow. This strain is a cross between Fire OG and Tangie Sunrise. It has a stunning bud structure “that looks like they’re ready to ignite,” as described by the grower, and a terpene profile rich with pine and citrus. Bright Fire offers consumers physical relaxation while stimulating the appetite. Enjoy this strain later in the day to harness its gorgeous semi-sedative effects. ","['hungry', 'relaxed', 'uplifted', 'creative', 'euphoric']","['pungent', 'earthy', 'citrus']","['bright', 'fire', 'palomar', 'craft', 'cannabis', 'rewarding', 'difficult', 'plant', 'grow.', 'strain', 'cross', 'fire', 'og', 'tangie', 'sunrise.', 'stunning', 'bud', 'structure', '“that', 'looks', 'like', 'they’re', 'ready', 'ignite,”', 'described', 'grower,', 'terpene', 'profile', 'rich', 'pine', 'citrus.', 'bright', 'fire', 'offers', 'consumers', 'physical', 'relaxation', 'stimulating', 'appetite.', 'enjoy', 'strain', 'later', 'day', 'harness', 'gorgeous', 'semi-sedative', 'effects.']","Hungry,Relaxed,Uplifted,Creative,EuphoricPungent,Earthy,CitrusBright Fire by Palomar Craft Cannabis is a rewarding yet difficult plant to grow. This strain is a cross between Fire OG and Tangie Sunrise. It has a stunning bud structure “that looks like they’re ready to ignite,” as described by the grower, and a terpene profile rich with pine and citrus. Bright Fire offers consumers physical relaxation while stimulating the appetite. Enjoy this strain later in the day to harness its gorgeous semi-sedative effects. "
378,Bright-Moments,hybrid,0.0,None,None,"Bright Moments by Gage Green Group is a delicious cross of heirloom Grape Stomper genetics. Created by crossing Grape Stomper and Grape Stomper OG, Gage Green fashions an incredibly frosty and potent strain with a generous yield for attentive growers. This strain’s loud grape fragrance is as alluring as it is pungent, and the effects hit strong, rushing directly to the head. These effects expel stress and clear the mind, replacing cares and concerns with bright euphoria.  ",['none'],['none'],"['bright', 'moments', 'gage', 'green', 'group', 'delicious', 'cross', 'heirloom', 'grape', 'stomper', 'genetics.', 'created', 'crossing', 'grape', 'stomper', 'grape', 'stomper', 'og,', 'gage', 'green', 'fashions', 'incredibly', 'frosty', 'potent', 'strain', 'generous', 'yield', 'attentive', 'growers.', 'strain’s', 'loud', 'grape', 'fragrance', 'alluring', 'pungent,', 'effects', 'hit', 'strong,', 'rushing', 'directly', 'head.', 'effects', 'expel', 'stress', 'clear', 'mind,', 'replacing', 'cares', 'concerns', 'bright', 'euphoria.']","NoneNoneBright Moments by Gage Green Group is a delicious cross of heirloom Grape Stomper genetics. Created by crossing Grape Stomper and Grape Stomper OG, Gage Green fashions an incredibly frosty and potent strain with a generous yield for attentive growers. This strain’s loud grape fragrance is as alluring as it is pungent, and the effects hit strong, rushing directly to the head. These effects expel stress and clear the mind, replacing cares and concerns with bright euphoria.  "
380,Bronze-Whaler,indica,0.0,"Hungry,Relaxed",None,"An 80/20 indica-dominant strain bred in Australia, Bronze Whaler gives off the sweet smell of fruit with distinct tropical overtones. Awarded 2nd place at the Sydney Cannabis Cup in 2002, this dense, compact bud produces an abundance of fine white pistils that turn to a bronze hue on upon maturing. For patients seeking long-lasting relief from pain and stress, this nighttime strain is ideal.","['hungry', 'relaxed']",['none'],"['80/20', 'indica-dominant', 'strain', 'bred', 'australia,', 'bronze', 'whaler', 'gives', 'sweet', 'smell', 'fruit', 'distinct', 'tropical', 'overtones.', 'awarded', '2nd', 'place', 'sydney', 'cannabis', 'cup', '2002,', 'dense,', 'compact', 'bud', 'produces', 'abundance', 'fine', 'white', 'pistils', 'turn', 'bronze', 'hue', 'maturing.', 'patients', 'seeking', 'long-lasting', 'relief', 'pain', 'stress,', 'nighttime', 'strain', 'ideal.']","Hungry,RelaxedNoneAn 80/20 indica-dominant strain bred in Australia, Bronze Whaler gives off the sweet smell of fruit with distinct tropical overtones. Awarded 2nd place at the Sydney Cannabis Cup in 2002, this dense, compact bud produces an abundance of fine white pistils that turn to a bronze hue on upon maturing. For patients seeking long-lasting relief from pain and stress, this nighttime strain is ideal."
381,Brooklyn-Mango,hybrid,4.9,"Euphoric,Aroused,Uplifted,Happy,Talkative","Mango,Tropical,Citrus","Brooklyn Mango, bred by Dr. Underground, is a hybrid that combines Ed Rosenthal Super Bud with NYC Diesel. The resulting buds carry a mix of diesel and tropical fruit flavors, like pineapple, mango, and lemon. The effects of Brooklyn Mango are a mix of cerebral energy with calm and comforting body relaxation.","['euphoric', 'aroused', 'uplifted', 'happy', 'talkative']","['mango', 'tropical', 'citrus']","['brooklyn', 'mango,', 'bred', 'dr.', 'underground,', 'hybrid', 'combines', 'ed', 'rosenthal', 'super', 'bud', 'nyc', 'diesel.', 'resulting', 'buds', 'carry', 'mix', 'diesel', 'tropical', 'fruit', 'flavors,', 'like', 'pineapple,', 'mango,', 'lemon.', 'effects', 'brooklyn', 'mango', 'mix', 'cerebral', 'energy', 'calm', 'comforting', 'body', 'relaxation.']","Euphoric,Aroused,Uplifted,Happy,TalkativeMango,Tropical,CitrusBrooklyn Mango, bred by Dr. Underground, is a hybrid that combines Ed Rosenthal Super Bud with NYC Diesel. The resulting buds carry a mix of diesel and tropical fruit flavors, like pineapple, mango, and lemon. The effects of Brooklyn Mango are a mix of cerebral energy with calm and comforting body relaxation."
382,Bruce-Banner,hybrid,4.6,"Happy,Euphoric,Relaxed,Uplifted,Creative","Earthy,Diesel,Pungent","Bruce Banner might be best known as the alter-ego of comic book hero The Incredible Hulk, but maybe he wouldn’t be such a stressed out ball of anger if he just had some of his namesake strain. This green monster also has hidden strength and features dense nugs that pack the power of very high THC content. It’s a powerful strain whose effects come on quickly and strong and then tend to settle into a euphoric and creative buzz. The sativa effects of this strain are most evident and linger mostly in the head, but it does also provide body relaxation and pain relief that make it an appropriate daytime medication for some. Dark Horse Genetics bred this strain from OG Kush and Strawberry Diesel, and its heritage can be found in its diesel aroma with sweet undertones. Plants flower at 8 to 10 weeks. This strain does have three main phenotypes, one of which is Bruce Banner #3.","['happy', 'euphoric', 'relaxed', 'uplifted', 'creative']","['earthy', 'diesel', 'pungent']","['bruce', 'banner', 'best', 'known', 'alter-ego', 'comic', 'book', 'hero', 'incredible', 'hulk,', 'maybe', 'wouldn’t', 'stressed', 'ball', 'anger', 'namesake', 'strain.', 'green', 'monster', 'hidden', 'strength', 'features', 'dense', 'nugs', 'pack', 'power', 'high', 'thc', 'content.', 'it’s', 'powerful', 'strain', 'effects', 'come', 'quickly', 'strong', 'tend', 'settle', 'euphoric', 'creative', 'buzz.', 'sativa', 'effects', 'strain', 'evident', 'linger', 'head,', 'provide', 'body', 'relaxation', 'pain', 'relief', 'appropriate', 'daytime', 'medication', 'some.', 'dark', 'horse', 'genetics', 'bred', 'strain', 'og', 'kush', 'strawberry', 'diesel,', 'heritage', 'found', 'diesel', 'aroma', 'sweet', 'undertones.', 'plants', 'flower', '8', '10', 'weeks.', 'strain', 'main', 'phenotypes,', 'bruce', 'banner', '#3.']","Happy,Euphoric,Relaxed,Uplifted,CreativeEarthy,Diesel,PungentBruce Banner might be best known as the alter-ego of comic book hero The Incredible Hulk, but maybe he wouldn’t be such a stressed out ball of anger if he just had some of his namesake strain. This green monster also has hidden strength and features dense nugs that pack the power of very high THC content. It’s a powerful strain whose effects come on quickly and strong and then tend to settle into a euphoric and creative buzz. The sativa effects of this strain are most evident and linger mostly in the head, but it does also provide body relaxation and pain relief that make it an appropriate daytime medication for some. Dark Horse Genetics bred this strain from OG Kush and Strawberry Diesel, and its heritage can be found in its diesel aroma with sweet undertones. Plants flower at 8 to 10 weeks. This strain does have three main phenotypes, one of which is Bruce Banner #3."
383,Bruce-Banner-3,hybrid,4.6,"Euphoric,Relaxed,Happy,Uplifted,Energetic","Sweet,Earthy,Flowery","Bruce Banner (probably better-known as the alter ego of comic book superhero The Incredible Hulk) is one of three phenotypes of the Bruce Banner strain and has proven to be a popular one. Effects come on quickly to provide an immediate burst of euphoria before easing into relaxation that may be good for creative pursuits. Dark Horse Genetics bred this strain from OG Kush and Strawberry Diesel, and its heritage can be found in its diesel aroma with sweet undertones. Its plants flower at 8 to 10 weeks.","['euphoric', 'relaxed', 'happy', 'uplifted', 'energetic']","['sweet', 'earthy', 'flowery']","['bruce', 'banner', '(probably', 'better-known', 'alter', 'ego', 'comic', 'book', 'superhero', 'incredible', 'hulk)', 'phenotypes', 'bruce', 'banner', 'strain', 'proven', 'popular', 'one.', 'effects', 'come', 'quickly', 'provide', 'immediate', 'burst', 'euphoria', 'easing', 'relaxation', 'good', 'creative', 'pursuits.', 'dark', 'horse', 'genetics', 'bred', 'strain', 'og', 'kush', 'strawberry', 'diesel,', 'heritage', 'found', 'diesel', 'aroma', 'sweet', 'undertones.', 'plants', 'flower', '8', '10', 'weeks.']","Euphoric,Relaxed,Happy,Uplifted,EnergeticSweet,Earthy,FloweryBruce Banner (probably better-known as the alter ego of comic book superhero The Incredible Hulk) is one of three phenotypes of the Bruce Banner strain and has proven to be a popular one. Effects come on quickly to provide an immediate burst of euphoria before easing into relaxation that may be good for creative pursuits. Dark Horse Genetics bred this strain from OG Kush and Strawberry Diesel, and its heritage can be found in its diesel aroma with sweet undertones. Its plants flower at 8 to 10 weeks."
384,Bubba-Berry,indica,5.0,"Sleepy,Happy,Relaxed",None,"Bubba Berry is a sedating cross of Pre-98 Bubba Kush and DJ Short’s Blueberry. This strain lays into the body, weighing on the limbs and mind with a deep, stoney buzz. The relaxing and calming qualities of this strain lend to meditation and recuperation. Bubba Berry’s aroma is sweet and berry-forward. Its flavor is also fruity and musky with a hint of spice on the finish. Reserve this strain for the end of the day as its heavy physical effects saddle the consumer with nearly insurmountable couchlock and a state of contentment. ","['sleepy', 'happy', 'relaxed']",['none'],"['bubba', 'berry', 'sedating', 'cross', 'pre-98', 'bubba', 'kush', 'dj', 'short’s', 'blueberry.', 'strain', 'lays', 'body,', 'weighing', 'limbs', 'mind', 'deep,', 'stoney', 'buzz.', 'relaxing', 'calming', 'qualities', 'strain', 'lend', 'meditation', 'recuperation.', 'bubba', 'berry’s', 'aroma', 'sweet', 'berry-forward.', 'flavor', 'fruity', 'musky', 'hint', 'spice', 'finish.', 'reserve', 'strain', 'end', 'day', 'heavy', 'physical', 'effects', 'saddle', 'consumer', 'nearly', 'insurmountable', 'couchlock', 'state', 'contentment.']","Sleepy,Happy,RelaxedNoneBubba Berry is a sedating cross of Pre-98 Bubba Kush and DJ Short’s Blueberry. This strain lays into the body, weighing on the limbs and mind with a deep, stoney buzz. The relaxing and calming qualities of this strain lend to meditation and recuperation. Bubba Berry’s aroma is sweet and berry-forward. Its flavor is also fruity and musky with a hint of spice on the finish. Reserve this strain for the end of the day as its heavy physical effects saddle the consumer with nearly insurmountable couchlock and a state of contentment. "
385,Bubba-Doja,indica,4.0,None,None,"Bubba Doja by Quest Genetics is a heavy indica-dominant strain that combines the legendary Pre-98 Bubba Kush and the deep purple yield machine, Double Purple Doja. With rich flavors of grape and coffee, Bubba Doja offers weighted effects that lock your to the couch and ignite the appetite, making this colorful cut ideal for consumers suffering from insomnia, eating disorders, and anxiety.       ",['none'],['none'],"['bubba', 'doja', 'quest', 'genetics', 'heavy', 'indica-dominant', 'strain', 'combines', 'legendary', 'pre-98', 'bubba', 'kush', 'deep', 'purple', 'yield', 'machine,', 'double', 'purple', 'doja.', 'rich', 'flavors', 'grape', 'coffee,', 'bubba', 'doja', 'offers', 'weighted', 'effects', 'lock', 'couch', 'ignite', 'appetite,', 'making', 'colorful', 'cut', 'ideal', 'consumers', 'suffering', 'insomnia,', 'eating', 'disorders,', 'anxiety.', '      ']","NoneNoneBubba Doja by Quest Genetics is a heavy indica-dominant strain that combines the legendary Pre-98 Bubba Kush and the deep purple yield machine, Double Purple Doja. With rich flavors of grape and coffee, Bubba Doja offers weighted effects that lock your to the couch and ignite the appetite, making this colorful cut ideal for consumers suffering from insomnia, eating disorders, and anxiety.       "
386,Bubba-Fresh,hybrid,5.0,"Aroused,Sleepy,Tingly,Uplifted,Creative","Citrus,Earthy,Pine","Bubba Fresh by NorStar Genetics is a new take on Pre-98 Bubba Kush. This delicious cut combines the earthy, chocolate coffee aroma of Pre-98 Bubba Kush with the fruity sweetness of Banana OG. Its dreamy buzz and carefree effects help abate depression while enhancing mood. Enjoy Bubba Fresh’s sweet flavors and relaxing attributes later in the day to maximize effects.  ","['aroused', 'sleepy', 'tingly', 'uplifted', 'creative']","['citrus', 'earthy', 'pine']","['bubba', 'fresh', 'norstar', 'genetics', 'new', 'pre-98', 'bubba', 'kush.', 'delicious', 'cut', 'combines', 'earthy,', 'chocolate', 'coffee', 'aroma', 'pre-98', 'bubba', 'kush', 'fruity', 'sweetness', 'banana', 'og.', 'dreamy', 'buzz', 'carefree', 'effects', 'help', 'abate', 'depression', 'enhancing', 'mood.', 'enjoy', 'bubba', 'fresh’s', 'sweet', 'flavors', 'relaxing', 'attributes', 'later', 'day', 'maximize', 'effects.']","Aroused,Sleepy,Tingly,Uplifted,CreativeCitrus,Earthy,PineBubba Fresh by NorStar Genetics is a new take on Pre-98 Bubba Kush. This delicious cut combines the earthy, chocolate coffee aroma of Pre-98 Bubba Kush with the fruity sweetness of Banana OG. Its dreamy buzz and carefree effects help abate depression while enhancing mood. Enjoy Bubba Fresh’s sweet flavors and relaxing attributes later in the day to maximize effects.  "
387,Bubba-Hash,indica,0.0,None,None,"Bubba Hash by Ace Seeds is a stout indica-dominant cross of famous and familiar genetics. This strain’s spear-like colas and dense morphology make it ideal for indoor growers with limited space. A cross between Katsu Bubba and Hash Plant, this pungent strain offers consumers a unique bouquet of hash, coffee, and petrichor alongside notes of skunk and fuel. Bubba Hash has surprisingly clear mental effects while smoothing out anxiety, pain, and restlessness. ",['none'],['none'],"['bubba', 'hash', 'ace', 'seeds', 'stout', 'indica-dominant', 'cross', 'famous', 'familiar', 'genetics.', 'strain’s', 'spear-like', 'colas', 'dense', 'morphology', 'ideal', 'indoor', 'growers', 'limited', 'space.', 'cross', 'katsu', 'bubba', 'hash', 'plant,', 'pungent', 'strain', 'offers', 'consumers', 'unique', 'bouquet', 'hash,', 'coffee,', 'petrichor', 'alongside', 'notes', 'skunk', 'fuel.', 'bubba', 'hash', 'surprisingly', 'clear', 'mental', 'effects', 'smoothing', 'anxiety,', 'pain,', 'restlessness.']","NoneNoneBubba Hash by Ace Seeds is a stout indica-dominant cross of famous and familiar genetics. This strain’s spear-like colas and dense morphology make it ideal for indoor growers with limited space. A cross between Katsu Bubba and Hash Plant, this pungent strain offers consumers a unique bouquet of hash, coffee, and petrichor alongside notes of skunk and fuel. Bubba Hash has surprisingly clear mental effects while smoothing out anxiety, pain, and restlessness. "
388,Bubba-Kush,indica,4.3,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Earthy,Sweet,Woody","Bubba Kush is an indica strain that has gained notoriety in the U.S. and beyond for its heavy tranquilizing effects. Sweet hashish flavors with subtle notes of chocolate and coffee come through on the exhale, delighting the palate as powerful relaxation takes over. From head to toe, muscles ease with heaviness as dreamy euphoria blankets the mind, crushing stress while coercing happy moods. Bubba Kush exhibits a distinctive, bulky bud structure with hues that range from forest green to pale purple.Bubba’s stocky plant stature and bulky bud structure suggest Afghani descent, but its genetic origins aren’t certain. The breeder whom this strain was named after states that Bubba Kush emerged just after 1996, when an OG Kush hybrid pollinated an unknown indica strain obtained in New Orleans. The mother plant was supposedly Northern Lights, but the genetically ambiguous indica was simply called “Bubba.” Bubba Kush has flourished from its California roots ever since. ","['relaxed', 'happy', 'sleepy', 'euphoric', 'hungry']","['earthy', 'sweet', 'woody']","['bubba', 'kush', 'indica', 'strain', 'gained', 'notoriety', 'u.s.', 'heavy', 'tranquilizing', 'effects.', 'sweet', 'hashish', 'flavors', 'subtle', 'notes', 'chocolate', 'coffee', 'come', 'exhale,', 'delighting', 'palate', 'powerful', 'relaxation', 'takes', 'over.', 'head', 'toe,', 'muscles', 'ease', 'heaviness', 'dreamy', 'euphoria', 'blankets', 'mind,', 'crushing', 'stress', 'coercing', 'happy', 'moods.', 'bubba', 'kush', 'exhibits', 'distinctive,', 'bulky', 'bud', 'structure', 'hues', 'range', 'forest', 'green', 'pale', 'purple.bubba’s', 'stocky', 'plant', 'stature', 'bulky', 'bud', 'structure', 'suggest', 'afghani', 'descent,', 'genetic', 'origins', 'aren’t', 'certain.', 'breeder', 'strain', 'named', 'states', 'bubba', 'kush', 'emerged', '1996,', 'og', 'kush', 'hybrid', 'pollinated', 'unknown', 'indica', 'strain', 'obtained', 'new', 'orleans.', 'mother', 'plant', 'supposedly', 'northern', 'lights,', 'genetically', 'ambiguous', 'indica', 'simply', 'called', '“bubba.”', 'bubba', 'kush', 'flourished', 'california', 'roots', 'since.']","Relaxed,Happy,Sleepy,Euphoric,HungryEarthy,Sweet,WoodyBubba Kush is an indica strain that has gained notoriety in the U.S. and beyond for its heavy tranquilizing effects. Sweet hashish flavors with subtle notes of chocolate and coffee come through on the exhale, delighting the palate as powerful relaxation takes over. From head to toe, muscles ease with heaviness as dreamy euphoria blankets the mind, crushing stress while coercing happy moods. Bubba Kush exhibits a distinctive, bulky bud structure with hues that range from forest green to pale purple.Bubba’s stocky plant stature and bulky bud structure suggest Afghani descent, but its genetic origins aren’t certain. The breeder whom this strain was named after states that Bubba Kush emerged just after 1996, when an OG Kush hybrid pollinated an unknown indica strain obtained in New Orleans. The mother plant was supposedly Northern Lights, but the genetically ambiguous indica was simply called “Bubba.” Bubba Kush has flourished from its California roots ever since. "
389,Bubba-Og,indica,4.3,"Happy,Relaxed,Sleepy,Euphoric,Uplifted","Earthy,Sweet,Pungent","Canadian breeders at Dr. Greenthumb Seeds crossed the popular medicinal strain Pre -98 Bubba Kush with Ghost OG to create a hybrid with the flavor of Bubba, the potency of OG, and yields better than either of the two. With a sweet, pungent smell and flavors of fruity hash and diesel, Bubba OG is a potent strain suitable for treating pain, muscle spasms, nausea, and insomnia. ","['happy', 'relaxed', 'sleepy', 'euphoric', 'uplifted']","['earthy', 'sweet', 'pungent']","['canadian', 'breeders', 'dr.', 'greenthumb', 'seeds', 'crossed', 'popular', 'medicinal', 'strain', 'pre', '-98', 'bubba', 'kush', 'ghost', 'og', 'create', 'hybrid', 'flavor', 'bubba,', 'potency', 'og,', 'yields', 'better', 'two.', 'sweet,', 'pungent', 'smell', 'flavors', 'fruity', 'hash', 'diesel,', 'bubba', 'og', 'potent', 'strain', 'suitable', 'treating', 'pain,', 'muscle', 'spasms,', 'nausea,', 'insomnia.']","Happy,Relaxed,Sleepy,Euphoric,UpliftedEarthy,Sweet,PungentCanadian breeders at Dr. Greenthumb Seeds crossed the popular medicinal strain Pre -98 Bubba Kush with Ghost OG to create a hybrid with the flavor of Bubba, the potency of OG, and yields better than either of the two. With a sweet, pungent smell and flavors of fruity hash and diesel, Bubba OG is a potent strain suitable for treating pain, muscle spasms, nausea, and insomnia. "
390,Bubba-Tom-Hayes,hybrid,4.9,"Euphoric,Happy,Uplifted,Creative,Talkative","Earthy,Pungent,Ammonia","Bubba Tom Hayes is a hybrid that crosses Pre-98 Bubba Kush with a select Haze variety that was bred by Tom Hill. The hybrid tends to be Haze-dominant with a sweet, herb flavor that mixes with musky Kush undertones. The effects tend to be led by the sativa genetics as well, inciting uplifting cerebral activity that eventually fades to a relaxing body effect. The Bubba Kush influence helps speed up the flowering cycle, allowing Bubba Tom Hayes to finish in around 10 weeks when cultivated indoors.","['euphoric', 'happy', 'uplifted', 'creative', 'talkative']","['earthy', 'pungent', 'ammonia']","['bubba', 'tom', 'hayes', 'hybrid', 'crosses', 'pre-98', 'bubba', 'kush', 'select', 'haze', 'variety', 'bred', 'tom', 'hill.', 'hybrid', 'tends', 'haze-dominant', 'sweet,', 'herb', 'flavor', 'mixes', 'musky', 'kush', 'undertones.', 'effects', 'tend', 'led', 'sativa', 'genetics', 'well,', 'inciting', 'uplifting', 'cerebral', 'activity', 'eventually', 'fades', 'relaxing', 'body', 'effect.', 'bubba', 'kush', 'influence', 'helps', 'speed', 'flowering', 'cycle,', 'allowing', 'bubba', 'tom', 'hayes', 'finish', '10', 'weeks', 'cultivated', 'indoors.']","Euphoric,Happy,Uplifted,Creative,TalkativeEarthy,Pungent,AmmoniaBubba Tom Hayes is a hybrid that crosses Pre-98 Bubba Kush with a select Haze variety that was bred by Tom Hill. The hybrid tends to be Haze-dominant with a sweet, herb flavor that mixes with musky Kush undertones. The effects tend to be led by the sativa genetics as well, inciting uplifting cerebral activity that eventually fades to a relaxing body effect. The Bubba Kush influence helps speed up the flowering cycle, allowing Bubba Tom Hayes to finish in around 10 weeks when cultivated indoors."
